company,specific_role,platform,status,is_tech
Encompass Sports Therapy - Cranston,Part Time Administrative Assistant,Cold Email,Applied,Non-Tech
Sameer Somani Professional Corporation,admin work and some bookkeeping,Cold Email,Applied,Non-Tech
Wesco,Warehouse Administrator,Website Application,Rejected (App),Non-Tech
Deloitte,Learning Coordinator,Website Application,Rejected (App),Non-Tech
MNP,"Coordinator, Learning and Development",Website Application,Applied,Non-Tech
Calgary TELUS Convention Centre,Client Services Coordinator - Event Execution,Website Application,Applied,Non-Tech
Spackman Dental,Office Administrator,Website Application,Applied,Non-Tech
iS2 ,Health & Safety Administrator,Cold Email,Applied,Non-Tech
Canaccord Genuity,Administrative Assistant,Website Application,Applied,Non-Tech
Lululemon,Educator,Website Application,Rejected (App),Non-Tech
Manpower Group North America,Receptionist,Job Board Listing,Applied,Non-Tech
CoolIT Systems,Logistics Assistant,Website Application,Rejected (App),Non-Tech
Randstad,Business Centre Clerk,Website Application,Applied,Non-Tech
Altis Recruitment,Facilities Coordinator,Website Application,Applied,Non-Tech
FCT,Document Processing Rep,Website Application,Rejected (App),Non-Tech
Calgary Catholic School District,Independent Studies Assistant,Website Application,Applied,Non-Tech
Days Inn Calgary,Front Desk Agent,Cold Email,Applied,Non-Tech
Tinbox Energy Software,Business Coordinator,Cold Email,Applied,Non-Tech
Accenture,Office Operations and Hospitality Coordinator,Website Application,Applied,Non-Tech
VCA Animal Hospitals,"Veterinary Reception, Client Care",Website Application,Applied,Non-Tech
JD Sports Canada,Back of House Ecommerce Associate,Website Application,Applied,Non-Tech
Karen King and Associates ,Receptionist / Front Desk Administrator,Cold Email,OFFER!!!!,Non-Tech
Affirm,Administrative Assistant IV,Website Application,Rejected (App),Non-Tech
Higher Talent Recruitment,Front Desk Specialist & Administrative Assistant,Cold Email,Applied,Non-Tech
Perry Thompson Photography,Assistant Production Manager,Cold Email,OFFER!!!!,Non-Tech
Terrace Gardens on Sixth,Residential Administrative Assistant,Cold Email,Rejected (App),Non-Tech
Prep Academy Tutors,Administrative Assistant - Calgary,Cold Email,Applied,Non-Tech
EY ,2025 and 2026 Assurance - Technology Risk - Canada - Full-Time Staff,Job Board Listing,Applied,Tech
Fiscal AI,Jr/Intermediate Full Stack & QA Engineer,Website Application,Rejected (App),Tech
WanderLog,Full-Stack Software Engineer,Website Application,Applied,Tech
Grafana Labs,Staff Backend Engineer - Pyroscope | Canada | Remote,Job Board Listing,Rejected (App),Tech
JYZ Design,Website Project Manager,Job Board Listing,Rejected (App),Tech
Fuel Labs,Talent Network,Job Board Listing,Applied,Tech
Neo Finanial,Junior Software Developer,Job Board Listing,Applied,Tech
MNP,Junior Developer,Job Board Listing,Not Interested Anymore,Tech
FDM,Software Engineering Practice,Website Application,Not Interested Anymore,Tech
Outlier,Graphics & Visual Design for AI Training,Website Application,Not Interested Anymore,Tech
Helic & Co.,Data Analyst,Job Board Listing,Applied,Tech
micro1,Full-stack Engineer,Job Board Listing,Rejected (App),Tech
Tuba H. post,IT Roles,Job Board Listing,Applied,Tech
Helic & Co.,Software Engineer,Job Board Listing,Ghosted,Tech
Founding Teams,Junior Machine Learning Engineer - AI startup,Job Board Listing,Ghosted,Tech
Suraj Post,Freelance Dev/Software Eng,Job Board Listing,Applied,Tech
Erode Ai,Machine Learning Research Engr,Job Board Listing,Rejected (App),Tech
Actalent,Full Stack Software Developer,Job Board Listing,Applied,Tech
Meta,Data Labeling Analyst II (Contract),Website Application,Rejected (App),Tech
visorPro,Python Dev,Job Board Listing,Ghosted,Tech
Luminara Creative,Junior Web Designer,Job Board Listing,Rejected (Interview),Tech
Parvathi,IT Roles,Job Board Listing,Applied,Tech
Victoria ,Data Scientist,Job Board Listing,Applied,Tech
Autodesk,Software Developer,Website Application,Rejected (App),Tech
VantEDGE,Intermediate Software Developer,Job Board Listing,Ghosted,Tech
SI Systems Inc,Jr. Service Desk Analyst,Website Application,Rejected (App),Tech
Micro Engineering Tech Inc,Full Time Information System Analyst,Website Application,Ghosted,Tech
C0wsec Information Security Association,Entry-Level Customer Support Specialist,Website Application,Ghosted,Tech
Job Bank by Government of Canada,Web Designer,Job Board Listing,Applied,Tech
CloudBerry,Jr Software Engineer ,Job Board Listing,Rejected (App),Tech
Job Bank by Government of Canada,Web Developer,Job Board Listing,Applied,Tech
Tech Consulting,Jr Data Science,Job Board Listing,Ghosted,Tech
Mindrift,AI Agent Evaluation Analyst,Website Application,Applied,Tech
MRO,Software Engineer - Aerospace Engineer,Website Application,Applied,Tech
w3global,Data Scientist/AI Engineer,Website Application,Applied,Tech
WillHire,Data Science Intern,Website Application,Applied,Tech
TraceRent,Data Analyst,Website Application,Applied,Tech
ROGII,Technical Analyst,Website Application,Rejected (App),Tech
ATB Financial,Junior Data Developer,Website Application,Rejected (App),Tech
Backlinkgen,General Role,Website Application,Applied,Tech
Westjet,Intermediate Analyst - Schedule Planning,Website Application,Rejected (App),Tech
Davinci AI Solutions,General Role,Cold Email,Applied,Tech
Clio,General Role,Cold Email,Applied,Tech
Action Dev,Data Analyst,Job Board Listing,Applied,Tech
Trimac Transportation,"Analyst, Data Analytics",Website Application,Applied,Tech
Finney Taylor Consulting Group,Business Intelligence Analyst,Cold Email,Applied,Tech
University of Calgary,"Junior Web Specialist, Office of the Registrar",Website Application,Applied,Tech
Canada Infrastructure Bank.,"Analyst, Total Rewards and HRIS",Website Application,Applied,Tech
Davinci AI Solutions,IT Project Implementor,Cold Email,Applied,Tech
